user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SemiBin_148	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.93	11	0.80009	N/A
SemiBin_150	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__WHSR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__WHSR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.2	11	0.89989	Genome has more than 14.2% of markers with multiple hits
SemiBin_157	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__GCA-2861595;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__GCA-2861595;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.37	11	0.81964	N/A
SemiBin_166	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__CADCTF01;g__JAHWJQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__CADCTF01;g__JAHWJQ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.02	11	0.94991	N/A
SemiBin_170	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.01	11	0.83914	N/A
SemiBin_183	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Saccharopolyspora_C;s__	N/A	N/A	N/A	N/A	N/A	GCF_037023755.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Saccharopolyspora_C;s__Saccharopolyspora_C sp016526145	84.94	0.173	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Saccharopolyspora_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	72.3	11	0.97494	Genome has more than 18.3% of markers with multiple hits
SemiBin_190	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.83	11	0.92353	N/A
SemiBin_191	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JALYGJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JALYGJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.7	11	0.91728	N/A
SemiBin_203	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__JAHWKV01;f__JAHWKV01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__JAHWKV01;f__JAHWKV01;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.14	11	0.74	N/A
SemiBin_210	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.86	11	0.76702	N/A
SemiBin_215	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.02	11	0.75468	N/A
SemiBin_234	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__JALYGY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__JALYGY01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.8	11	0.92667	N/A
SemiBin_235	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.71	11	0.80281	Genome has more than 12.5% of markers with multiple hits
SemiBin_236	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_035644915.1, s__Streptomyces sp035644915, 95.0, 85.38, 0.181; GCF_039533345.1, s__Streptomyces glaucosporus, 95.0, 84.54, 0.151; GCF_039533145.1, s__Streptomyces macrosporus, 95.0, 84.53, 0.166	71.53	11	0.94101	N/A
SemiBin_238	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__JAAYYY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__JAAYYY01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.53	11	0.93401	Genome has more than 13.3% of markers with multiple hits
SemiBin_244	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__UBA3913;s__UBA3913 sp002391425	GCA_002391425.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__UBA3913;s__UBA3913 sp002391425	99.68	0.883	GCA_002391425.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__UBA3913;s__UBA3913 sp002391425	99.68	0.883	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__UBA3913;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.93	11	N/A	N/A
SemiBin_249	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__CADDZG01;f__WHSQ01;g__DATLFS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__CADDZG01;f__WHSQ01;g__DATLFS01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.86	11	0.89809	N/A
SemiBin_255	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__DASQXU01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__DASQXU01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.18	11	0.87436	Genome has more than 10.0% of markers with multiple hits
SemiBin_270	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__CADCTF01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__CADCTF01;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	48.39	11	0.84286	N/A
SemiBin_272	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.09	11	0.7318	N/A
SemiBin_282	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__CADCVQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_035553935.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__CADCVQ01;s__CADCVQ01 sp035553935	88.45	0.28	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__CADCVQ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_035551055.1, s__CADCVQ01 sp035551055, 95.0, 86.11, 0.166; GCA_038255395.1, s__CADCVQ01 sp038255395, 95.0, 84.41, 0.197; GCA_902806175.1, s__CADCVQ01 sp902806175, 95.0, 84.39, 0.19; GCA_030447505.1, s__CADCVQ01 sp030447505, 95.0, 84.04, 0.177	84.79	11	0.9708	N/A
SemiBin_283	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__CADDZG01;f__WHSQ01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__CADDZG01;o__CADDZG01;f__WHSQ01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	95.71	11	0.829	N/A
SemiBin_284	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__UBA4738;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.29	11	0.80954	N/A
SemiBin_31	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__WHSR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__WHSR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.54	11	0.90302	N/A
SemiBin_315	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__JACDBZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__JACDBZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.68	11	0.92299	Genome has more than 10.8% of markers with multiple hits
SemiBin_333	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.94	11	0.78857	N/A
SemiBin_343	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__GCA-2861595;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__GCA-2861595;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.47	11	0.90215	Genome has more than 12.5% of markers with multiple hits
SemiBin_367	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.45	11	0.76474	Genome has more than 12.5% of markers with multiple hits
SemiBin_370	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__CSP1-2;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__CSP1-2;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.08	11	0.80951	N/A
SemiBin_38	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.09	11	0.8326	Genome has more than 12.5% of markers with multiple hits
SemiBin_48	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.28	11	0.82733	N/A
SemiBin_50	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-14;g__JAHFUQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-14;g__JAHFUQ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.09	11	0.8752	Genome has more than 10.0% of markers with multiple hits
SemiBin_59	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.67	11	0.85228	Genome has more than 10.0% of markers with multiple hits
SemiBin_66	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.02	11	0.8381	N/A
SemiBin_67	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__AC-67;o__AC-67;f__AC-67;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	78.97	11	0.75264	Genome has more than 10.0% of markers with multiple hits
SemiBin_69	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	57.47	11	0.86708	Genome has more than 13.3% of markers with multiple hits
SemiBin_80	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__WHSM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__WHSM01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.79	11	0.95247	Genome has more than 10.0% of markers with multiple hits
SemiBin_9	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__DATHTK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__DATHTK01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	69.34	11	0.91245	N/A
SemiBin_98	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__JAAYYY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__JAAYYY01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.99	11	0.91874	Genome has more than 10.8% of markers with multiple hits
