contig	length	gc	V26Dr2	V30Sr2	V32PRr1	V38PRr3	V39Sr2	cov_mean	cov_log	tnf_cdist
k127_1800288	2649	0.3934	5.40695	15.3016	8.90449	13.6297	11.276	10.903747999999998	1.0375758058242228	0.05280304623514631
k127_908894	22517	0.4288	5.8876	9.02554	11.0362	15.3168	9.58942	10.171112	1.0073684366064644	0.013566149636530134
k127_611467	10289	0.3949	5.37137	9.28195	8.07027	18.4044	7.32024	9.689646	0.9863079108944268	0.023373106849203573
k127_909156	12980	0.3984	5.44777	9.59314	9.93436	16.4987	10.7182	10.438434	1.0186353496076563	0.01599508600637589
k127_3289439	36934	0.4582	6.90247	10.3059	11.7647	16.4918	10.1846	11.129894000000002	1.0464910281770896	0.02419315482493234
k127_1801952	12358	0.4388	5.95622	9.76946	11.8389	14.7027	11.0305	10.659556	1.0277391155005169	0.019808379505693474
k127_2397607	32187	0.4277	6.20642	9.9286	10.4495	15.029	8.91469	10.105642	1.0045639089647052	0.007434096561061976
k127_1803006	38030	0.4524	6.91031	12.3059	11.3241	15.9349	9.05335	11.105712	1.0455464068969873	0.01149099849791746
k127_1803073	6924	0.4217	11.0133	19.5984	23.9466	34.7747	15.5695	20.9805	1.3218158339363495	0.037204046580861516
k127_19354	22980	0.4201	5.88651	8.23503	8.43238	13.7889	7.83007	8.834577999999999	0.9461858094569918	0.010048628782271085
k127_2398971	14738	0.4315	5.84611	10.7002	10.7423	16.4777	11.9587	11.145002000000002	1.0470801507515537	0.01854524157788484
k127_316366	9000	0.4126	5.88344	8.38533	10.3294	15.7127	7.35322	9.532818	0.979221301576626	0.027315259364592004
k127_615271	7270	0.4176	6.77111	10.3889	13.5102	16.2065	9.87194	11.34973	1.0549855301718858	0.019839917975182253
k127_2400218	7402	0.4173	9.27952	10.6104	15.4857	21.2255	15.7049	14.461204	1.160204452625759	0.02170034362736084
k127_318044	18651	0.4219	7.51965	10.3821	10.2685	16.4914	8.84033	10.700396	1.0293998503424495	0.010633791283726546
k127_3293839	15918	0.412	6.31606	10.325	11.1605	15.2272	10.3786	10.681472	1.028631106384116	0.00884697606351692
k127_2103751	3988	0.4107	3.71615	9.751	5.91023	10.5341	6.09829	7.201954000000001	0.8574503431377427	0.09215692082693316
k127_1808736	40350	0.4651	2.94731	7.28265	7.97772	10.4062	7.09928	7.142632000000001	0.8538582751439499	0.01784775588783094
k127_321062	4987	0.4135	5.96431	12.8424	9.37036	13.6932	7.10166	9.794386	0.990977215709016	0.03158822394052552
k127_2999152	15288	0.3972	3.09877	6.19545	7.91026	10.317	4.70408	6.445112	0.8092304687118177	0.03014229974202498
k127_4485988	32338	0.4316	5.65721	11.5907	10.772	16.3883	8.17966	10.517574	1.0219155763275984	0.009544702302758723
k127_3595199	18495	0.403	6.08402	9.77497	10.5602	14.5077	10.1479	10.214958	1.0092365853193486	0.015121645827043118
k127_3001443	4180	0.4165	10.4323	11.5687	13.5605	16.1608	10.3548	12.415419999999996	1.0939614158436324	0.0367980937811242
k127_3597419	21255	0.4271	7.00353	9.82494	10.068	14.3425	8.91409	10.030612	1.0013274315363163	0.01428238135519
k127_3003749	9031	0.4508	6.07995	8.51932	7.59805	16.1187	6.79238	9.02168	0.9552874185609715	0.030101594437636603
k127_327053	5828	0.4024	6.46946	10.8893	16.5232	19.5458	11.4247	12.970491999999998	1.1129564501652287	0.06039280951414827
k127_2111451	5624	0.3985	4.98809	5.63016	11.0119	13.7418	8.21746	8.717882	0.9404109863729148	0.03152745461647821
k127_4493257	11621	0.4089	6.01885	8.84657	10.4496	14.7432	6.40745	9.293133999999998	0.968162199394779	0.028686750318009824
k127_1223448	19180	0.4129	5.25959	9.20725	9.36846	12.5074	8.6879	9.006120000000001	0.9545377293236303	0.011580499029904878
k127_1224616	10923	0.4036	5.28921	9.30385	9.82276	16.5163	8.2644	9.839304000000002	0.9929643789547248	0.021468085196978626
k127_36390	10067	0.4052	9.12407	12.4159	11.0395	17.7404	11.6155	12.387074000000002	1.0929687320640236	0.018371057816325087
k127_1820772	5729	0.4144	8.58666	9.89771	14.7322	20.3657	13.6841	13.453274	1.1288279874688911	0.03090985131003343
k127_1227096	66606	0.4284	6.12664	10.1943	10.7186	14.8517	8.76922	10.132092	1.005699124556226	0.0041132321412631345
k127_3013516	34550	0.4192	6.73398	10.8608	10.0861	14.3853	8.54043	10.121322	1.0052372417338071	0.005520573429050324
k127_930523	2909	0.4122	4.9505	7.11138	10.7511	10.9251	3.48367	7.44435	0.871826783520438	0.05494749837324875
k127_336072	3087	0.3981	5.94007	17.1672	11.6735	15.5481	6.14998	11.29577	1.052915840865327	0.0351736415085645
k127_3608027	43862	0.4193	5.67085	10.678	9.74962	14.2761	7.46817	9.568548	0.9808460398216868	0.008737259658188612
k127_633853	42562	0.434	5.21409	10.4871	10.0897	16.138	7.491	9.883978	0.9949317700678368	0.006166383207160009
k127_1233246	4298	0.4393	7.49232	8.12936	10.8069	16.5735	10.4418	10.688776	1.0289279758466827	0.0381952862496131
k127_4506234	31388	0.4318	5.69017	11.1053	10.4881	15.9814	8.77179	10.407352	1.0173402436241197	0.006614606730131367
k127_4506394	11127	0.4184	5.20545	10.232	9.44945	17.6037	8.50103	10.198326	1.0085288905240024	0.01813322603247769
k127_342756	9076	0.4271	9.16935	12.1238	13.3061	18.814	9.61756	12.606162	1.100582883882251	0.033746227691397124
k127_343322	32242	0.4294	6.26757	11.0249	10.1592	15.7674	9.8211	10.608034	1.0256349030279606	0.00879117799297957
k127_3615963	3563	0.4448	5.25681	7.46618	8.18468	11.8271	8.87174	8.321302	0.920191283884017	0.06570994914290906
k127_2724299	12181	0.3841	3.56449	7.42755	7.93999	10.0264	5.52886	6.897458	0.8386890646533942	0.03668178188722249
k127_49051	60173	0.4407	6.25769	11.4035	10.8355	15.0014	9.68285	10.636188	1.0267860051018964	0.0065297868737466125
k127_1536947	16538	0.4179	4.22512	8.21605	8.27113	12.0359	7.44848	8.039336	0.9052201801608246	0.009748705866996832
k127_2728204	27769	0.4271	6.39195	10.4177	10.8269	16.3379	8.17804	10.430498	1.0183050441397463	0.015350469520568177
k127_3026824	6006	0.4058	5.61921	9.66051	9.79171	11.6743	7.70163	8.889472000000001	0.9488759663362096	0.03871389407951176
k127_2429362	7788	0.4607	5.75616	12.1967	10.4301	15.1843	7.49281	10.212014	1.009111401521811	0.04450179702054213
k127_3324128	17586	0.4354	5.57341	11.8338	10.1207	15.5159	9.63846	10.536454	1.0226944754547571	0.024042745932077336
k127_2730436	8481	0.4367	5.32142	11.646	12.1665	12.827	9.93126	10.378436	1.0161319115329968	0.02366057513445574
k127_648173	7599	0.5152	6.77694	12.3078	13.7148	20.1269	16.9253	13.970348	1.145207224481921	0.08004544230119781
k127_1242864	5514	0.5127	7.70312	15.5323	13.9601	20.2893	8.42365	13.181693999999998	1.1199712257039451	0.09656981458977132
k127_1540705	36891	0.4348	5.87948	11.7162	11.4399	15.7749	9.59231	10.880558	1.0366511683499178	0.01168586353827672
k127_3030492	20048	0.426	5.96384	10.7331	9.86173	15.25	8.6055	10.082834	1.0035826171864175	0.00871326126671701
k127_1541320	31537	0.4172	5.69601	9.20449	11.481	15.1928	8.47348	10.009556	1.0004148136405009	0.005808886479014341
k127_2732194	3939	0.4158	9.08403	9.9114	12.7545	13.4986	6.91292	10.43229	1.0183796512069785	0.040698279378102
k127_4220061	8600	0.4097	6.15512	9.62093	10.841	15.1353	8.30326	10.011122	1.0004827539130576	0.017888995267863028
k127_3624945	4129	0.4294	6.77549	9.50593	8.77113	15.0068	7.76169	9.564208	0.9806490124740546	0.030303111518945713
k127_56636	14566	0.4554	6.7144	12.7883	10.5529	15.9662	7.64602	10.733564	1.0307439501610196	0.059344725510268925
k127_57174	3375	0.3372	4.36593	3.79911	8.58341	10.6566	10.3416	7.549329999999999	0.8779084098789163	0.08265473429353432
k127_58256	2923	0.3688	3.96955	9.85768	7.43825	13.7496	5.16661	8.036337999999999	0.9050581944335896	0.06512900716021064
k127_3626607	13111	0.4792	5.90741	11.4424	12.3378	14.7095	11.3073	11.140882	1.0469195743718305	0.03224466163427386
k127_3924354	9007	0.3848	5.45809	7.98679	10.8123	12.6153	6.5237	8.679236	0.9384814975742648	0.035280753788068386
k127_3925887	4860	0.3704	3.47613	6.72716	6.18971	11.9541	8.02922	7.275264	0.861848757336702	0.04943391704278055
k127_355953	11898	0.4217	5.7761	7.83241	10.2374	17.5127	6.18297	9.508316	0.9781036066673944	0.019148104867515947
k127_356152	9697	0.4455	5.35145	10.9281	12.0341	15.0484	9.29318	10.531046	1.022471509786337	0.031122733711821615
k127_3631597	4671	0.4331	9.614	12.7073	19.2349	29.8673	15.532	17.3911	1.240327052320227	0.04534070248666344
k127_1250753	8426	0.3992	5.14669	11.5174	10.0896	14.1984	8.14087	9.818592	0.9920492138080852	0.023764761550831848
k127_1250881	60633	0.4241	5.20733	11.8663	10.3968	15.1068	8.52889	10.221224	1.0095029060351148	0.01242564021041026
k127_658650	12616	0.4222	4.33236	12.5119	10.249	16.9413	10.753	10.957512	1.039711954939132	0.02392271040402194
k127_3933222	3824	0.4221	2.63258	8.8329	7.56407	15.4032	3.60434	7.607418	0.8812372798156867	0.07357210760110389
k127_3635766	5599	0.4399	3.75549	6.65708	7.96267	15.5653	9.28684	8.645475999999999	0.9367889095223072	0.03026020312871447
k127_3043416	12371	0.4073	4.35656	10.2642	9.9675	12.4226	8.35341	9.072853999999998	0.9577439222842528	0.01333169010719315
k127_1255501	6927	0.4975	7.70723	15.4986	12.8988	16.3624	11.5681	12.807026	1.107448291201213	0.06840912406110833
k127_1850888	3614	0.5288	6.7435	7.21029	12.9707	16.9596	9.26093	10.629004	1.0264925704903785	0.13409882582764399
k127_2149948	31299	0.4258	6.2617	11.7542	9.86482	12.5443	8.97748	9.8805	0.994778922497195	0.004876877291295267
k127_364299	49738	0.4101	6.02495	9.47437	10.3054	15.0925	7.13563	9.60657	0.9825683516669336	0.008108958394128063
k127_3340634	7103	0.4156	7.84302	14.6173	10.983	20.8895	9.16317	12.699198	1.1037762945644147	0.03689593663360802
k127_4529941	4786	0.4407	8.94233	11.9881	11.4049	18.4919	6.78834	11.523114	1.061569858450493	0.03452628306016936
k127_1853710	5229	0.4303	7.1354	10.8499	12.0239	19.9281	11.079	12.20326	1.0864758643538082	0.03209660500625833
k127_3047038	11737	0.4152	5.05376	10.1937	10.1926	14.2958	7.98006	9.543184	0.9796932974426916	0.019580921868550982
k127_666224	11490	0.4044	6.24291	10.4087	10.5776	16.3409	9.63333	10.640688	1.0269697092507295	0.015128680236018877
k127_73742	25860	0.4352	5.73329	11.6668	10.1232	14.1585	7.43287	9.822932	0.9922411376203244	0.006370784931265194
k127_667343	9924	0.4258	5.9084	12.1014	10.9861	14.1072	8.79101	10.378822	1.0161480637309446	0.036816735719592875
k127_2155160	8105	0.4207	9.0401	12.8373	14.2423	22.1228	13.7581	14.40012	1.1583661112008523	0.01374306531230296
k127_74563	21444	0.4442	5.19558	12.414	11.8222	17.042	10.5115	11.397056	1.0567926822071052	0.016147107747582323
k127_3644355	6518	0.3989	4.92697	4.38555	10.1392	14.1843	7.56996	8.241196	0.9159902430695076	0.03612663335501343
k127_3052042	16355	0.4143	5.78722	10.3162	9.50425	13.0586	10.7892	9.891094	0.9952443291995168	0.01602666779202755
k127_372426	25830	0.4247	5.19524	9.87681	9.65583	14.8599	10.1233	9.942215999999998	0.9974831941871156	0.010843136278240295
k127_2454808	2953	0.4524	5.68202	7.57264	10.9248	14.6634	6.65019	9.09861	0.9589750499651644	0.12902845021797826
k127_970699	8636	0.4252	5.49166	11.4755	11.2889	15.6327	5.30848	9.839448	0.9929707348867876	0.013364563108843486
k127_673846	5711	0.4385	6.83751	11.4822	13.8072	17.3481	14.7284	12.840681999999996	1.10858809078664	0.027365859842134244
k127_4244315	3038	0.4786	3.6896	5.27749	8.68038	15.0007	10.8351	8.696654	0.9393521918315996	0.06524884524572327
k127_1863581	18843	0.4305	5.86143	11.6588	10.2306	15.6468	9.72112	10.62375	1.026277842248156	0.010810175672708366
k127_376399	26746	0.4438	6.1361	11.6383	10.9701	15.8887	8.20474	10.567588	1.0239758730381068	0.014139216823769618
k127_3650302	30454	0.4401	6.54843	12.4923	10.142	14.7592	7.8394	10.356266	1.015203196730832	0.00967162340133576
k127_3352669	5086	0.4233	4.64884	11.4066	8.24695	16.2782	6.30692	9.377501999999998	0.97208716544754	0.02740938105852131
k127_1865756	6193	0.4134	6.87179	12.2932	9.56693	13.5353	13.6262	11.178684	1.0483906796525182	0.02319600213359685
k127_4542626	5454	0.4272	3.24807	9.85827	7.54327	10.2604	6.11955	7.405912000000001	0.8695785472838442	0.05084395400966746
k127_84973	16074	0.4113	6.03689	9.53322	11.0214	16.4232	7.16972	10.036886	1.0015989914157035	0.014628372731119943
k127_975877	5720	0.422	6.62867	11.1177	10.0189	16.1423	13.4944	11.480394	1.059956793034917	0.026995836807564122
k127_3062755	4425	0.4456	7.59661	17.9756	8.30825	15.9788	7.42215	11.456282	1.0590436953912028	0.05627552099534894
k127_88060	4176	0.3894	5.91954	3.74377	7.83142	13.1202	7.60967	7.644919999999999	0.8833729451125851	0.03486097761337059
k127_382632	3155	0.4808	13.4168	14.4669	18.9122	21.6086	14.2697	16.53484	1.218399996803196	0.06727404815877813
k127_1275453	51828	0.4312	4.33821	9.55343	9.17323	13.0983	8.49877	8.932388	0.9509675794463311	0.01025112969088493
k127_1276250	4780	0.396	4.19665	9.03054	11.555	11.7387	7.52469	8.809116	0.9449323288905412	0.02841987170026461
k127_3065866	3834	0.3824	3.35237	5.75978	10.4875	8.91158	4.44914	6.592073999999999	0.8190220739334886	0.04443822911830586
k127_1276387	5807	0.545	6.57224	15.3327	14.2223	16.279	9.943	12.469848	1.095861159720437	0.13957920252106681
k127_3659513	12188	0.4181	6.9173	10.4152	10.7953	14.7382	8.62553	10.298306	1.0127657921462032	0.02049977153076732
k127_1576780	3909	0.4021	5.77155	9.78434	12.5779	15.3282	7.4441	10.181218	1.007799736648753	0.07006042133929302
k127_1278018	3046	0.4005	1.8851	2.8503	7.45207	10.4741	8.61786	6.255886	0.7962888260457116	0.07773011795106799
k127_4552305	17737	0.4254	6.37532	10.054	11.249	16.9128	9.98286	10.914796	1.038015623059153	0.01689108787178495
k127_3959298	23334	0.4436	7.30436	11.1932	11.9062	14.7483	9.26759	10.88393	1.036785739951574	0.011480227325714076
k127_388452	15913	0.4409	5.11136	10.624	11.6514	15.4901	11.0053	10.776432	1.0324749928351613	0.015343649788469027
k127_3071039	12525	0.4339	4.91074	9.38403	12.1081	15.4042	8.94052	10.149518	1.0064454181200957	0.03146245947201931
k127_1282731	4066	0.376	4.85539	7.56198	9.35514	13.0526	12.3805	9.441122	0.9750236097062284	0.03917478277361064
k127_3073466	6995	0.4284	7.58871	11.355	12.2901	17.1861	8.99114	11.48221	1.060025485486416	0.024815482068449413
k127_2177744	5389	0.4517	6.26703	10.422	9.84004	14.921	10.2321	10.336434	1.014370735930432	0.03220809404798508
k127_1284441	9171	0.4531	6.73678	11.7321	10.5851	14.3361	11.583	10.994616	1.0411800657119687	0.03854629115008845
k127_3075126	31884	0.4189	5.82897	11.1928	9.74181	15.6363	9.10717	10.30141	1.0128966725993154	0.007443390125371763
k127_3668220	16856	0.4239	5.86889	10.636	11.3809	15.9876	8.37245	10.449168	1.0190817117490945	0.030868799771769373
k127_3668683	28572	0.4334	6.17181	8.70454	11.4865	17.0395	8.39745	10.35996	1.0153580785933056	0.012296537861443135
k127_3369818	30088	0.4429	6.09456	9.80737	10.9066	15.3217	9.01512	10.229069999999998	1.0098361506009093	0.008592796379987444
k127_395490	7723	0.4197	6.63097	11.0346	9.32656	15.7395	7.6491	10.076145999999998	1.0032944516540807	0.04357253447296594
k127_3370161	10929	0.4381	4.97923	12.3532	10.1666	14.785	5.99167	9.65514	0.984758575452198	0.01889693261101244
k127_1882672	2651	0.4078	4.96831	7.59336	9.3229	13.2045	7.73142	8.564098	0.932681628334651	0.07126254125752962
k127_3669815	27184	0.4663	5.6634	9.28134	11.2351	14.6234	8.93349	9.947346	0.9977072243333368	0.045908422562170315
k127_3371556	50267	0.4143	5.21245	9.5919	9.9401	15.0707	8.81642	9.726314	0.9879482860285872	0.012217364220095228
k127_2182153	9551	0.4163	6.60067	9.88556	10.2356	14.2381	10.2757	10.247126	1.0106020763810435	0.01655311011810967
k127_1290078	20641	0.4237	6.31118	10.3493	10.0639	15.1183	7.91861	9.952258	0.997921626040872	0.02230880563999338
k127_2480910	9751	0.4737	8.68557	10.5887	11.839	19.6663	9.8154	12.118994	1.083466570458825	0.051418296777901995
k127_1589254	4893	0.4184	4.46863	6.10341	7.26793	11.3836	9.6309	7.770894000000001	0.8904709849440783	0.08135351282767345
k127_4563844	2825	0.4021	9.37274	13.7211	18.2871	25.1561	14.7296	16.253328	1.2109422997182149	0.04767935133942802
k127_3373892	9114	0.4491	6.41881	11.5702	11.1399	17.5463	9.84452	11.303946	1.0532300741803784	0.022767929791243757
k127_3673736	13679	0.459	6.8342	8.99905	11.9212	17.2647	8.33124	10.670078	1.028167594199144	0.024510262351592926
k127_3974105	6676	0.4468	7.81426	11.861	12.0884	14.7078	10.4976	11.393812	1.0566690492407076	0.03150568407244825
k127_1299254	4907	0.4259	12.354	15.0037	16.8319	28.0247	12.3568	16.91422	1.228251975076616	0.05454063289615263
k127_3680605	15047	0.3615	2.92138	7.88742	8.34193	7.91201	6.95959	6.804466	0.8327940483706353	0.04583937772147384
k127_114005	13585	0.4467	5.67435	14.4095	8.90313	15.0805	8.42083	10.497662000000002	1.0210925853974455	0.016171353875096273
k127_114332	3906	0.4442	6.43088	11.1229	13.607	16.1403	6.74322	10.80886	1.033779891750065	0.0680315547892335
k127_3384934	12090	0.3937	4.75451	9.32481	10.1055	15.892	9.22523	9.860409999999998	0.9938949734640924	0.022074361615228022
k127_2793926	3258	0.4048	5.0175	7.95365	9.28361	17.9954	10.4607	10.142172	1.0061309714275397	0.04895598236858545
k127_2795630	9471	0.4249	6.36005	7.95745	9.23472	15.148	10.4992	9.839884	0.9929899786694668	0.02106215012427981
k127_3096969	4733	0.4344	5.41792	9.25143	11.9949	12.0463	5.95162	8.932433999999999	0.9509698159697252	0.029719953568841606
k127_3986183	4082	0.3778	6.7685	10.7234	9.2413	17.55	8.95468	10.647576	1.0272507486530724	0.05486774085178181
k127_3097128	12215	0.4304	6.62612	11.7479	10.1014	14.2424	7.38682	10.020928	1.0009079417525155	0.01763963328299656
k127_3388801	42320	0.4256	5.56191	10.7719	10.2323	15.4738	8.85338	10.178658000000002	1.0076905224394397	0.00900608697048122
k127_1605617	12753	0.4255	6.02211	8.70501	10.9047	16.3261	8.58763	10.10911	1.0047129222474818	0.02333825870674855
k127_714159	9675	0.421	6.40734	10.618	12.4956	17.7843	9.08165	11.277378	1.0522081375464376	0.013744196481292992
k127_1311248	13543	0.4256	6.8806	8.49302	12.5085	14.9745	8.77575	10.326474	1.0139520559097142	0.014773280238181918
k127_3396059	4905	0.4118	5.1476	10.3142	9.74271	16.1227	5.32579	9.3306	0.9699095717540914	0.04300736901514779
k127_1614176	9840	0.43	6.29482	10.3421	10.482	12.6751	7.54726	9.468256	0.9762699917458848	0.042145612605779315
k127_722562	11995	0.4039	6.40625	12.2731	8.98208	13.4596	10.1165	10.247506	1.0106181812716453	0.016024764973966543
k127_1317805	31096	0.4479	5.93006	10.1567	11.2593	16.46	10.8148	10.924172	1.0383885294448856	0.011520128533456075
k127_3402469	2970	0.4128	4.10236	6.50471	6.02121	15.4451	6.14007	7.64269	0.8832462442480924	0.05418826980424574
k127_134141	4909	0.4135	5.72744	8.52618	9.72907	12.7676	14.4693	10.243918	1.0104660933916625	0.05100781011126654
k127_3114735	4802	0.4363	5.29113	9.65056	10.1976	14.4615	7.90108	9.500374	0.9777407024403304	0.03395053956942706
k127_4002979	4705	0.3883	6.61615	9.13518	10.8153	15.2691	9.22657	10.21246	1.009130368506122	0.03618087825704741
k127_2513163	4472	0.451	7.2585	15.6221	12.3685	19.9184	9.50738	12.934976	1.1117656272483694	0.05958471194587267
k127_3116765	29003	0.4404	6.57311	11.0841	10.7662	16.4134	9.48767	10.864896	1.0360255735610728	0.01786264387256542
k127_435299	16501	0.3757	3.16417	7.33962	7.27047	9.38155	5.20223	6.471608000000001	0.8110122031974146	0.04136539391060323
k127_1920078	10915	0.4235	5.59194	8.7104	11.5296	17.0235	7.11131	9.99335	0.9997110980990022	0.026841992860882513
k127_3707776	4833	0.4194	6.73805	16.8984	9.45707	12.2458	12.1107	11.490004	1.060320179878679	0.03666194497337294
k127_1326893	36578	0.4187	5.71466	9.98201	10.2527	14.2254	9.36355	9.907664	0.995971269873807	0.004733897371919205
k127_1921064	49903	0.4256	6.89991	11.1172	10.9046	14.9144	9.53081	10.673384000000002	1.028302134469008	0.007012195734080406
k127_1032404	4687	0.4779	5.85641	10.4643	12.3653	14.3953	15.9087	11.798002	1.071808465454835	0.07169750073298875
k127_2518121	8853	0.4117	6.89597	9.55495	10.3355	17.0201	9.2406	10.609424	1.025691806105672	0.019050759889280955
k127_1328767	4004	0.3826	6.09615	7.43731	10.6194	13.6918	6.19805	8.808542000000001	0.9449040294386276	0.04338245067804114
k127_439778	2587	0.4519	3.69888	12.7453	9.15771	10.6308	5.49749	8.346036	0.9214802536763884	0.0675613021155238
k127_3711527	16644	0.4609	7.70079	9.34715	9.969	15.1014	8.76154	10.175976	1.0075760740236923	0.02919679460144775
k127_1332210	19817	0.469	5.46112	9.15527	9.09189	13.5453	11.4913	9.748976	0.9889590012467956	0.039649015243848784
k127_3414878	5733	0.4181	6.7558	11.5835	10.4795	15.8507	6.55154	10.244208	1.0104783878689378	0.036354771461797
k127_1927196	7388	0.4568	6.10125	14.6063	12.7446	19.9312	12.6605	13.208769999999998	1.120862378016989	0.036407861812913445
k127_4016897	19421	0.419	5.3384	9.56501	9.74136	14.9748	8.21837	9.567588	0.9808024654341536	0.013928516663100798
k127_2827841	4006	0.4261	6.17024	13.1852	6.55816	13.4296	6.89191	9.247022	0.9660018908792692	0.04925618417410971
k127_3419258	9367	0.4351	5.99819	11.2118	12.4705	17.066	9.07142	11.163582	1.0478035667549652	0.026909503596794115
k127_3419554	32058	0.4397	5.72023	9.55446	10.8572	16.5139	10.3749	10.604138	1.0254753709139912	0.009241272041671356
k127_3132613	6583	0.4275	7.56388	10.7568	11.5813	15.2564	9.7214	10.975956	1.0404423573827652	0.025940161530387695
k127_1340897	13496	0.4163	5.57128	9.29068	11.7045	14.7859	8.38182	9.946836	0.9976849575031832	0.02001363534755396
k127_1341459	3092	0.5029	11.292	17.4635	20.2164	27.0537	9.33668	17.072456	1.2322960021061065	0.09353446246197494
k127_1046150	5351	0.4556	6.68193	10.1273	12.9135	18.9987	11.0099	11.946266	1.0772321806811056	0.032991215533062945
k127_1640651	9157	0.4145	6.45681	8.26078	9.81959	11.8441	11.333	9.542856	0.9796783704499704	0.018657103303057476
k127_748675	18204	0.4523	6.29752	12.6257	10.1622	14.1834	10.3845	10.730664	1.0306265963940746	0.012837410596056475
k127_748755	5718	0.4211	5.75586	9.3482	9.84015	16.1105	6.149	9.440742	0.9750061292389244	0.04316328410658232
k127_1642743	7374	0.4047	4.67535	12.1025	11.5452	14.5039	5.96976	9.759342	0.9894205374000516	0.028400893485352352
k127_2535530	4472	0.3634	6.4602	10.7842	11.4942	12.2133	9.2775	10.04588	1.0019879861220482	0.05777347467053218
k127_2838894	10789	0.4542	6.3486	11.3989	11.3078	16.7938	11.0628	11.38238	1.0562330804067557	0.046856184935020306
k127_3430240	4600	0.4252	8.77804	15.0865	13.2683	20.9076	16.5109	14.910268000000002	1.173485449614975	0.029561331528519807
k127_3729473	26785	0.4385	6.13343	9.8205	10.4877	15.2031	8.60455	10.049856	1.0021598389850217	0.015371247552654954
k127_3432315	8616	0.4242	6.33287	9.92212	9.20357	13.4062	9.87825	9.748602	0.9889423400864964	0.025761517612039486
k127_3730882	4884	0.4355	9.8534	13.225	14.1802	24.7111	13.3663	15.0672	1.1780325530756297	0.04217647488419385
k127_4031178	23014	0.4366	6.44021	9.80729	9.98644	16.2229	7.60242	10.011852	1.0005144210342285	0.008700731763352398
k127_459639	2941	0.5141	5.77593	17.1853	14.3982	14.3999	11.0799	12.567846	1.0992608504405756	0.1268274383468333
k127_3435737	7810	0.356	3.18169	4.56248	6.78118	9.52753	4.93854	5.798284000000001	0.7632994832873856	0.06392618796957983
k127_759233	27100	0.4113	5.55096	6.9238	10.058	13.6562	6.79277	8.596346	0.9343138873762488	0.009986016675548437
k127_3149641	3026	0.4289	10.8866	19.6134	11.0106	20.6606	12.38	14.910239999999998	1.1734846340523766	0.03932271310419411
k127_3151115	6074	0.444	4.99045	10.6493	10.7331	15.8005	10.1956	10.47379	1.02010386202723	0.033188443277610946
k127_3153346	10175	0.4373	7.73543	11.133	10.5205	16.8441	9.30044	11.106694	1.0455848068057148	0.011207237013817983
