Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_166	100.0	2.66	Gradient Boost (General Model)	11	0.926	14292	290.70911009497013	2671758	0.7	2843	261	53077	None
SemiBin_167	6.07	0.03	Neural Network (Specific Model)	11	0.773	4930	221.21284634760704	677040	0.68	794	145	15209	None
SemiBin_170	100.0	4.63	Gradient Boost (General Model)	11	0.857	31000	315.42776249797765	6804162	0.66	6181	403	134749	None
SemiBin_172	31.44	0.31	Neural Network (Specific Model)	11	0.891	3766	284.60263034288397	2035646	0.68	2129	532	13992	None
SemiBin_18	60.92	9.75	Gradient Boost (General Model)	11	0.88	7317	305.38184633249466	5373950	0.68	5167	836	47923	None
SemiBin_181	47.24	1.42	Gradient Boost (General Model)	11	0.915	6477	279.96476833976834	1897359	0.74	2072	325	26254	None
SemiBin_182	24.65	1.08	Neural Network (Specific Model)	11	0.915	3409	262.84580612757406	1711878	0.73	1991	495	9140	None
SemiBin_183	90.0	5.68	Gradient Boost (General Model)	11	0.882	32265	308.67686658506733	5997470	0.73	5719	283	116409	None
SemiBin_185	26.61	1.36	Neural Network (Specific Model)	11	0.92	4226	249.55159395973155	1931113	0.74	2384	464	15241	None
SemiBin_186	62.59	0.49	Gradient Boost (General Model)	11	0.868	4976	268.61697305464617	3676662	0.69	3971	782	16987	None
SemiBin_190	93.46	1.73	Gradient Boost (General Model)	11	0.781	17020	238.91863427891965	5380033	0.65	5887	495	77061	None
SemiBin_191	73.2	2.69	Gradient Boost (General Model)	11	0.937	8683	295.6430801248699	1815169	0.7	1922	252	38711	None
SemiBin_193	18.7	0.38	Neural Network (Specific Model)	11	0.949	3338	253.50095602294456	418063	0.74	523	121	7536	None
SemiBin_199	15.96	0.09	Neural Network (Specific Model)	11	0.922	3555	258.1164294954722	1294197	0.73	1546	356	12738	None
SemiBin_2	47.75	2.19	Gradient Boost (General Model)	11	0.873	4422	242.90122914837576	1896636	0.73	2278	436	21956	None
SemiBin_200	6.6	0.0	Neural Network (Specific Model)	11	0.832	8832	255.52027027027026	407510	0.62	444	55	29607	None
SemiBin_203	89.7	0.67	Gradient Boost (General Model)	11	0.899	31010	293.27777777777777	2125346	0.63	2178	141	116278	None
SemiBin_204	31.96	0.99	Neural Network (Specific Model)	11	0.945	3987	253.06673511293636	1559619	0.73	1948	389	14080	None
SemiBin_206	6.3	0.04	Neural Network (Specific Model)	11	0.847	6440	237.6642547033285	579223	0.68	691	103	17863	None
SemiBin_207	21.7	0.35	Neural Network (Specific Model)	11	0.869	3325	257.206306787814	1658935	0.71	1871	486	10927	None
SemiBin_208	6.7	0.0	Neural Network (Specific Model)	11	0.876	3110	278.7254004576659	416214	0.62	437	130	6543	None
SemiBin_209	60.82	5.46	Gradient Boost (General Model)	11	0.926	6533	284.54901960784315	2859596	0.72	3111	502	23957	None
SemiBin_21	85.09	10.07	Gradient Boost (General Model)	11	0.871	4973	281.72097959183674	5932444	0.73	6125	1264	25511	None
SemiBin_210	83.06	4.67	Gradient Boost (General Model)	11	0.927	17919	298.71666666666664	3067053	0.73	3180	233	64352	None
SemiBin_213	56.88	2.18	Neural Network (Specific Model)	11	0.925	4907	276.76512373968836	3909109	0.71	4364	832	29858	None
SemiBin_215	78.34	1.06	Gradient Boost (General Model)	11	0.84	8405	295.95871070857754	3964407	0.75	3754	565	33733	None
SemiBin_217	7.63	0.0	Neural Network (Specific Model)	11	0.843	4556	254.14659685863873	516452	0.68	573	109	20229	None
SemiBin_219	44.37	0.78	Neural Network (Specific Model)	11	0.86	4195	275.4700910273082	1475603	0.61	1538	357	11428	None
SemiBin_22	69.35	7.91	Gradient Boost (General Model)	11	0.955	5137	265.4463860206513	2092747	0.74	2518	422	50880	None
SemiBin_221	6.76	0.0	Neural Network (Specific Model)	11	0.927	2988	256.5047923322684	259405	0.73	313	83	5919	None
SemiBin_223	7.68	0.01	Neural Network (Specific Model)	11	0.837	6184	268.0047619047619	603358	0.66	630	109	30390	None
SemiBin_225	9.35	0.02	Neural Network (Specific Model)	11	0.809	5798	254.1717032967033	683157	0.59	728	125	21267	None
SemiBin_226	4.48	0.01	Neural Network (Specific Model)	11	0.925	7058	172.47816091954024	241951	0.54	435	38	20549	None
SemiBin_228	61.79	11.63	Gradient Boost (General Model)	11	0.903	3893	274.99905660377357	2898680	0.72	3180	750	12107	None
SemiBin_231	12.12	0.08	Neural Network (Specific Model)	11	0.916	2946	282.62264150943395	538464	0.66	583	174	7004	None
SemiBin_232	48.45	5.44	Gradient Boost (General Model)	11	0.941	4073	264.6302957633893	2103819	0.73	2502	519	13418	None
SemiBin_233	6.85	0.03	Neural Network (Specific Model)	11	0.898	3089	274.2045929018789	437709	0.7	479	136	6636	None
SemiBin_234	99.83	2.85	Neural Network (Specific Model)	11	0.842	27928	267.19655667144906	4634107	0.64	4879	267	156634	None
SemiBin_235	97.34	6.44	Gradient Boost (General Model)	11	0.936	18940	303.77566415218104	2961359	0.75	3049	232	62446	None
SemiBin_236	89.02	1.74	Gradient Boost (General Model)	11	0.871	21327	301.6633642041783	4812323	0.74	4643	346	170145	None
SemiBin_238	98.33	8.89	Gradient Boost (General Model)	11	0.893	32528	337.2703353715027	6106493	0.56	5397	343	235484	None
SemiBin_24	27.11	0.5	Neural Network (Specific Model)	11	0.886	3357	297.20276909334524	2251073	0.68	2239	659	18550	None
SemiBin_241	10.26	0.05	Neural Network (Specific Model)	11	0.933	3094	247.2306451612903	491360	0.73	620	150	8714	None
SemiBin_244	96.32	2.74	Gradient Boost (General Model)	11	0.906	20355	304.9984748347738	1982252	0.65	1967	152	58430	None
SemiBin_249	98.85	2.4	Gradient Boost (General Model)	11	0.887	124415	300.6101265822785	3605548	0.68	3555	106	465703	None
SemiBin_25	66.72	5.69	Gradient Boost (General Model)	11	0.901	6608	308.2894736842105	4437518	0.7	4332	783	24957	None
SemiBin_250	13.72	1.49	Neural Network (Specific Model)	11	0.93	2991	251.6285403050109	742787	0.73	918	239	6393	None
SemiBin_251	28.73	0.11	Neural Network (Specific Model)	11	0.825	3300	264.6327944572748	1662795	0.7	1732	486	9219	None
SemiBin_254	49.94	1.32	Gradient Boost (General Model)	11	0.926	5065	276.24891670678863	1854405	0.72	2077	383	18321	None
SemiBin_255	93.28	4.87	Gradient Boost (General Model)	11	0.908	77413	296.3661202185792	3398136	0.72	3477	97	207437	None
SemiBin_256	7.83	0.01	Neural Network (Specific Model)	11	0.851	3111	230.74924471299093	536202	0.65	662	162	9002	None
SemiBin_257	20.38	0.56	Neural Network (Specific Model)	11	0.82	3204	261.80213191205866	1434960	0.67	1501	426	12425	None
SemiBin_259	17.3	0.76	Neural Network (Specific Model)	11	0.871	3145	287.32070707070704	1565911	0.71	1584	484	7025	None
SemiBin_261	20.77	4.08	Neural Network (Specific Model)	11	0.526	5399	152.32527881040892	926017	0.41	1076	181	87781	None
SemiBin_264	40.11	1.74	Neural Network (Specific Model)	11	0.94	4549	266.4218523878437	2340502	0.75	2764	532	16761	None
SemiBin_265	21.58	1.31	Neural Network (Specific Model)	11	0.921	3711	299.01805054151623	269633	0.69	277	70	13903	None
SemiBin_268	11.64	1.17	Neural Network (Specific Model)	11	0.947	3248	272.53602305475505	298747	0.73	347	85	9540	None
SemiBin_270	71.86	2.75	Gradient Boost (General Model)	11	0.936	7704	286.53614457831327	2738261	0.73	2988	416	32689	None
SemiBin_272	96.21	1.73	Gradient Boost (General Model)	11	0.923	43388	323.89488339714586	3016522	0.69	2873	143	152308	None
SemiBin_277	43.16	0.19	Gradient Boost (General Model)	11	0.903	4169	275.3546391752577	2656254	0.71	2910	643	14052	None
SemiBin_279	22.61	4.17	Neural Network (Specific Model)	11	0.899	3594	260.1740938799762	1457658	0.75	1683	388	17528	None
SemiBin_282	95.19	4.24	Gradient Boost (General Model)	11	0.892	31442	293.0387477546831	3831274	0.72	3897	198	120548	None
SemiBin_283	99.21	3.52	Gradient Boost (General Model)	11	0.868	84601	294.0282326369283	3591241	0.68	3542	114	370252	None
SemiBin_284	90.92	5.99	Gradient Boost (General Model)	11	0.908	28513	312.0097919216646	3360265	0.72	3268	192	113816	None
SemiBin_286	5.64	0.0	Neural Network (Specific Model)	11	0.827	7359	200.28371278458843	412073	0.69	571	66	26157	None
SemiBin_287	14.34	0.03	Neural Network (Specific Model)	11	0.891	3073	303.05711519845113	1052175	0.63	1033	331	7652	None
SemiBin_290	4.96	0.0	Neural Network (Specific Model)	11	0.877	3083	245.90740740740742	453066	0.71	540	141	9936	None
SemiBin_291	9.78	0.0	Neural Network (Specific Model)	11	0.899	3812	272.48921484037965	1051020	0.71	1159	268	10980	None
SemiBin_292	7.32	0.27	Neural Network (Specific Model)	11	0.816	12658	237.56655844155844	536510	0.68	616	64	46057	None
SemiBin_293	20.27	0.53	Neural Network (Specific Model)	11	0.932	3241	254.53246753246754	754680	0.72	924	221	9368	None
SemiBin_297	7.23	0.04	Neural Network (Specific Model)	11	0.892	2950	258.82872928176795	471649	0.66	543	156	5126	None
SemiBin_298	18.09	0.17	Neural Network (Specific Model)	11	0.88	3304	243.5109034267913	531951	0.36	642	151	20451	None
SemiBin_299	6.84	0.06	Neural Network (Specific Model)	11	0.894	3100	287.63573883161513	280347	0.71	291	84	10903	None
SemiBin_300	8.2	0.27	Neural Network (Specific Model)	11	0.876	3148	274.4095238095238	788103	0.74	840	239	10713	None
SemiBin_306	21.25	0.35	Neural Network (Specific Model)	11	0.9	3471	256.59777967549104	999343	0.7	1171	278	10324	None
SemiBin_31	85.03	4.0	Gradient Boost (General Model)	11	0.871	16938	277.0225625823452	5777426	0.69	6072	504	66614	None
SemiBin_315	88.98	4.93	Gradient Boost (General Model)	11	0.933	15495	289.83577486507323	2412135	0.7	2594	213	56157	None
SemiBin_317	6.65	0.01	Neural Network (Specific Model)	11	0.92	3214	251.28700906344412	270143	0.73	331	80	7075	None
SemiBin_32	7.89	0.0	Neural Network (Specific Model)	11	0.93	3482	250.86262626262626	399096	0.75	495	113	10613	None
SemiBin_322	27.71	1.16	Neural Network (Specific Model)	11	0.918	3745	266.26399447131996	1255386	0.73	1447	325	10894	None
SemiBin_326	4.29	0.0	Neural Network (Specific Model)	11	0.865	10468	267.80056179775283	329546	0.68	356	38	32866	None
SemiBin_332	16.86	0.09	Neural Network (Specific Model)	11	0.851	3342	253.12056737588654	627961	0.57	705	184	12712	None
SemiBin_333	95.38	3.69	Gradient Boost (General Model)	11	0.894	30508	304.49478965650326	5286505	0.68	5182	277	205837	None
SemiBin_334	4.6	0.0	Neural Network (Specific Model)	11	0.831	4898	251.5327380952381	304393	0.61	336	64	19729	None
SemiBin_335	8.16	0.02	Neural Network (Specific Model)	11	0.851	3129	238.86254295532646	488417	0.68	582	146	11983	None
SemiBin_343	77.83	6.65	Gradient Boost (General Model)	11	0.931	7957	284.72757894736844	2174095	0.71	2375	335	58001	None
SemiBin_349	29.76	0.92	Neural Network (Specific Model)	11	0.928	3897	269.20698782424563	1638764	0.72	1889	420	13551	None
SemiBin_35	46.5	3.51	Gradient Boost (General Model)	11	0.926	4472	268.9718856034901	1794091	0.74	2063	413	19882	None
SemiBin_353	2.86	0.0	Neural Network (Specific Model)	11	0.838	3648	252.83548387096775	279796	0.7	310	74	8937	None
SemiBin_356	3.87	0.0	Neural Network (Specific Model)	11	0.826	5199	252.15714285714284	319124	0.67	350	62	30474	None
SemiBin_359	3.51	0.0	Neural Network (Specific Model)	11	0.822	4429	261.3071895424837	290896	0.69	306	67	12232	None
SemiBin_36	56.77	14.14	Gradient Boost (General Model)	11	0.934	4057	249.93612657486082	2728139	0.74	3413	676	13095	None
SemiBin_367	91.54	9.84	Gradient Boost (General Model)	11	0.916	45452	310.53241895261846	3255581	0.73	3208	115	148829	None
SemiBin_37	4.88	0.0	Neural Network (Specific Model)	11	0.905	3651	244.7621951219512	264820	0.72	328	72	7690	None
SemiBin_370	93.37	6.53	Gradient Boost (General Model)	11	0.815	23334	269.8026699029126	4082165	0.43	4120	288	101453	None
SemiBin_374	5.54	0.0	Neural Network (Specific Model)	11	0.891	3182	262.66101694915255	208230	0.73	236	64	6563	None
SemiBin_379	7.66	0.02	Neural Network (Specific Model)	11	0.901	3248	282.96338028169015	666637	0.7	710	196	10139	None
SemiBin_38	100.0	7.74	Gradient Boost (General Model)	11	0.823	19307	298.13925982449445	5688651	0.67	5242	447	84390	None
SemiBin_39	36.33	1.57	Neural Network (Specific Model)	11	0.903	3858	273.5234946049426	2603234	0.74	2873	655	12758	None
SemiBin_40	4.58	0.0	Neural Network (Specific Model)	11	0.888	5348	285.5405405405405	249360	0.7	259	50	18411	None
SemiBin_406	8.31	0.0	Neural Network (Specific Model)	11	0.828	6636	242.169921875	446170	0.64	512	78	21910	None
SemiBin_41	36.77	3.34	Neural Network (Specific Model)	11	0.937	4246	261.5231935771632	1871563	0.74	2242	441	13082	None
SemiBin_413	4.7	0.0	Neural Network (Specific Model)	11	0.875	3572	226.07667731629394	241560	0.68	313	67	8728	None
SemiBin_414	5.9	0.0	Neural Network (Specific Model)	11	0.883	3099	266.9674267100977	277589	0.7	307	90	5404	None
SemiBin_417	11.54	0.11	Neural Network (Specific Model)	11	0.929	3507	275.8124207858048	700888	0.74	789	194	8862	None
SemiBin_42	56.14	5.38	Gradient Boost (General Model)	11	0.899	4014	288.9213399503722	3878150	0.74	4030	968	14481	None
SemiBin_428	3.83	0.0	Neural Network (Specific Model)	11	0.849	3579	236.63888888888889	239779	0.63	288	66	6606	None
SemiBin_43	57.26	3.1	Neural Network (Specific Model)	11	0.877	4090	262.5197967393606	4232728	0.72	4723	1040	16209	None
SemiBin_436	4.87	0.0	Neural Network (Specific Model)	11	0.858	4079	254.40856031128405	227863	0.67	257	58	11193	None
SemiBin_439	3.81	0.01	Neural Network (Specific Model)	11	0.827	3185	246.8951048951049	255331	0.7	286	76	8414	None
SemiBin_44	64.86	2.91	Gradient Boost (General Model)	11	0.898	4923	277.1057977147694	2182608	0.72	2363	463	30098	None
SemiBin_447	6.0	0.01	Neural Network (Specific Model)	11	0.823	5182	254.93428571428572	647956	0.7	700	130	18810	None
SemiBin_449	3.18	0.0	Neural Network (Specific Model)	11	0.935	3868	291.5478927203065	243784	0.75	261	59	11873	None
SemiBin_456	3.66	0.0	Neural Network (Specific Model)	11	0.909	3420	270.8692307692308	231816	0.74	260	65	7708	None
SemiBin_457	12.43	0.02	Neural Network (Specific Model)	11	0.932	3730	286.531561461794	277069	0.72	301	73	9817	None
SemiBin_469	3.56	0.0	Neural Network (Specific Model)	11	0.833	3523	238.77067669172934	227675	0.66	266	65	6126	None
SemiBin_470	4.49	0.01	Neural Network (Specific Model)	11	0.872	4034	210.40379403794037	266023	0.69	369	65	8908	None
SemiBin_471	10.18	0.05	Neural Network (Specific Model)	11	0.921	6038	327.18795430944965	1024766	0.7	963	189	21747	None
SemiBin_478	9.29	0.36	Neural Network (Specific Model)	11	0.925	3156	266.8396624472574	409198	0.7	474	128	5766	None
SemiBin_48	93.8	3.55	Gradient Boost (General Model)	11	0.911	31315	310.6951695169517	3400895	0.73	3333	163	99688	None
SemiBin_483	4.99	0.01	Neural Network (Specific Model)	11	0.869	3355	232.44444444444446	201226	0.64	252	55	12557	None
SemiBin_486	5.04	0.02	Neural Network (Specific Model)	11	0.869	3737	257.2267657992565	237800	0.7	269	61	8673	None
SemiBin_49	58.14	3.01	Gradient Boost (General Model)	11	0.9	4298	267.56601021152443	2441619	0.72	2742	578	13993	None
SemiBin_5	4.69	0.0	Neural Network (Specific Model)	11	0.935	5335	187.82588235294116	254302	0.63	425	47	30937	None
SemiBin_50	87.63	7.87	Gradient Boost (General Model)	11	0.903	22718	297.6143845089903	3565156	0.72	3615	238	86601	None
SemiBin_51	36.37	4.49	Neural Network (Specific Model)	11	0.866	3904	265.1099787685775	2157592	0.68	2355	549	14291	None
SemiBin_52	22.8	0.34	Neural Network (Specific Model)	11	0.912	3715	250.7375533428165	1155385	0.73	1406	301	11920	None
SemiBin_548	4.39	0.0	Neural Network (Specific Model)	11	0.865	4966	288.9736842105263	304006	0.61	304	64	16159	None
SemiBin_55	16.14	0.89	Neural Network (Specific Model)	11	0.91	5157	279.44202389318343	1306481	0.73	1423	267	18387	None
SemiBin_553	3.31	0.0	Neural Network (Specific Model)	11	0.812	4137	212.8935574229692	279819	0.69	357	66	11493	None
SemiBin_561	3.58	0.0	Neural Network (Specific Model)	11	0.88	4398	282.2360515021459	223896	0.69	233	53	11600	None
SemiBin_577	4.17	0.02	Neural Network (Specific Model)	11	0.838	3894	221.25806451612902	220404	0.68	279	53	12592	None
SemiBin_59	82.48	7.7	Gradient Boost (General Model)	11	0.946	12259	289.30861470495427	2899496	0.73	3169	329	38637	None
SemiBin_6	18.66	0.75	Neural Network (Specific Model)	11	0.919	3286	260.7123404255319	996670	0.73	1175	293	16414	None
SemiBin_64	70.85	10.89	Gradient Boost (General Model)	11	0.849	6006	291.432467057101	5617772	0.57	5464	1029	52466	None
SemiBin_65	9.08	0.14	Neural Network (Specific Model)	11	0.827	3325	239.06987724268177	914965	0.63	1059	266	14424	None
SemiBin_66	98.9	2.12	Neural Network (Specific Model)	11	0.854	19766	284.5704954954955	4429625	0.65	4440	330	71169	None
SemiBin_67	94.48	8.47	Gradient Boost (General Model)	11	0.933	15194	293.2039964211154	3154299	0.72	3353	301	49812	None
SemiBin_69	75.94	6.68	Gradient Boost (General Model)	11	0.931	8060	284.82831532980924	3985069	0.73	4351	579	31842	None
SemiBin_70	43.38	2.01	Gradient Boost (General Model)	11	0.91	4478	265.8584292146073	1748288	0.73	1999	403	20988	None
SemiBin_71	35.83	0.44	Neural Network (Specific Model)	11	0.917	3874	270.07002457002454	1434521	0.72	1628	372	15359	None
SemiBin_73	2.93	0.09	Neural Network (Specific Model)	11	0.818	5428	241.65531914893617	207580	0.69	235	39	13902	None
SemiBin_74	15.63	0.0	Neural Network (Specific Model)	11	0.879	3163	287.09131736526945	653467	0.72	668	203	6467	None
SemiBin_75	4.95	0.25	Neural Network (Specific Model)	11	0.883	45516	249.52307692307693	219521	0.73	260	16	83324	None
SemiBin_76	13.62	0.28	Neural Network (Specific Model)	11	0.826	7360	262.25162488393687	1021449	0.67	1077	166	52581	None
SemiBin_78	13.19	0.0	Neural Network (Specific Model)	11	0.943	3278	259.1511627906977	423863	0.71	516	128	6521	None
SemiBin_79	85.66	28.65	Gradient Boost (General Model)	4	0.915	3930	284.9421930870083	1563882	0.28	1678	393	20088	None
SemiBin_8	56.38	4.88	Gradient Boost (General Model)	11	0.929	6639	316.5533465871438	3077842	0.7	3018	534	33172	None
SemiBin_80	93.45	5.12	Gradient Boost (General Model)	11	0.906	18878	312.6891544117647	5621645	0.71	5440	418	79927	None
SemiBin_84	64.27	4.2	Gradient Boost (General Model)	11	0.907	5797	284.562055091303	3033996	0.75	3231	571	22688	None
SemiBin_86	60.98	8.99	Gradient Boost (General Model)	11	0.936	4954	277.0569933120093	3047963	0.74	3439	643	23366	None
SemiBin_87	13.64	0.03	Neural Network (Specific Model)	11	0.84	3162	242.79601226993864	562816	0.59	652	172	9311	None
SemiBin_9	79.26	3.25	Neural Network (Specific Model)	11	0.844	7846	252.41921595286652	3950761	0.63	4413	609	36570	None
SemiBin_93	33.2	0.52	Neural Network (Specific Model)	11	0.946	4148	257.72670807453414	1573261	0.74	1932	376	14981	None
SemiBin_97	41.53	1.71	Neural Network (Specific Model)	11	0.925	3251	268.001593625498	2175581	0.67	2510	641	9178	None
SemiBin_98	100.0	9.65	Gradient Boost (General Model)	11	0.876	28214	328.25967313870655	8031853	0.56	7159	554	162635	None
