genome	KO	protein_id	score	evalue	above_threshold
CSP12_V27Dr2__SemiBin_73	K02000	contig_539_5	71.9	9.6e-21	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_58_2	66.8	3.5e-19	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_38_5	64.5	1.7e-18	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_478_2	64.5	1.7e-18	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_346_2	63.3	3.9e-18	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_117_2	43.7	3.3e-12	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_264_1	40.0	4.5e-11	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_478_1	39.7	5.7e-11	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_59_1	33.7	3.6e-09	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_102_2	31.8	1.4e-08	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_449_1	29.5	6.6e-08	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_278_4	26.8	4.3e-07	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_164_2	24.4	2.4e-06	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_252_4	23.6	4e-06	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_208_4	21.5	1.8e-05	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_222_3	20.8	2.8e-05	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_51_4	19.7	6.3e-05	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_252_1	18.3	0.00017	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_489_3	17.2	0.00035	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_252_2	17.2	0.00036	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_141_5	16.1	0.00076	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_226_1	15.6	0.0011	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_78_3	13.4	0.0049	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_247_2	12.4	0.0098	0
CSP12_V27Dr2__SemiBin_73	K02001	contig_100_10	130.1	1.6e-38	0
CSP12_V27Dr2__SemiBin_73	K02001	contig_49_5	30.8	1.7e-08	0
CSP12_V27Dr2__SemiBin_73	K02001	contig_316_6	22.2	6.6e-06	0
CSP12_V27Dr2__SemiBin_73	K02001	contig_353_3	16.9	0.00027	0
CSP12_V27Dr2__SemiBin_73	K02001	contig_316_5	13.9	0.0022	0
CSP12_V27Dr2__SemiBin_73	K02002	contig_100_10	69.8	2.5e-20	0
CSP12_V27Dr2__SemiBin_73	K02002	contig_49_5	11.3	0.014	0
CSP12_V27Dr2__SemiBin_73	K02779	contig_328_4	4.2	1.8	0
CSP12_V27Dr2__SemiBin_73	K02779	contig_153_3	2.9	4.5	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_498_1	498.6	4e-150	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_154_3	458.1	7.7e-138	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_166_6	389.4	4.8e-117	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_368_1	187.2	8.9e-56	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_116_6	135.4	4.4e-40	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_475_2	118.7	5e-35	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_507_9	80.2	2.4e-23	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_419_3	74.4	1.3e-21	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_314_1	50.3	2.6e-14	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_370_13	36.1	5.5e-10	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_368_2	35.8	6.8e-10	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_156_1	35.3	9.3e-10	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_556_11	33.4	3.5e-09	0
CSP12_V27Dr2__SemiBin_73	K01226	contig_350_8	12.3	0.0089	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_469_3	1272.9	0.0	1
CSP12_V30PRr1__SemiBin_7	K05343	contig_359_7	798.1	2e-240	1
CSP12_V30PRr1__SemiBin_7	K05343	contig_203_2	796.3	6.8e-240	1
CSP12_V30PRr1__SemiBin_7	K05343	contig_475_1	410.4	2.7e-123	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_102_3	161.9	3.1e-48	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_178_11	107.9	6.5e-32	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_368_5	101.7	5e-30	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_37_1	97.7	8.2e-29	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_360_4	68.1	7e-20	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_336_5	52.9	2.7e-15	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_144_3	50.3	1.7e-14	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_469_2	47.4	1.3e-13	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_120_2	39.2	3.7e-11	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_218_1	33.8	1.6e-09	0
CSP12_V30PRr1__SemiBin_7	K05343	contig_14_1	31.9	6e-09	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_120_2	1164.9	0.0	1
CSP12_V30PRr1__SemiBin_7	K06044	contig_102_4	233.7	6.5e-70	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_102_3	76.4	1.8e-22	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_159_1	70.3	1.3e-20	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_475_1	67.5	9.1e-20	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_359_7	47.6	9.2e-14	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_360_4	45.3	4.4e-13	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_203_2	37.4	1.1e-10	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_469_3	36.3	2.4e-10	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_469_2	24.0	1.2e-06	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_144_3	16.5	0.00021	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_218_1	15.8	0.00036	0
CSP12_V30PRr1__SemiBin_7	K06044	contig_336_5	11.2	0.0088	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_469_2	178.9	2.5e-53	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_336_5	173.7	9.2e-52	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_144_3	148.5	4e-44	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_102_3	112.7	2.6e-33	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_469_3	110.9	8.8e-33	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_359_7	104.7	6.9e-31	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_475_1	91.6	6.2e-27	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_203_2	84.5	8.5e-25	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_360_4	40.0	2.5e-11	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_120_2	33.3	2.6e-09	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_368_5	26.1	4e-07	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_218_1	24.8	1e-06	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_178_11	24.6	1.1e-06	0
CSP12_V30PRr1__SemiBin_7	K01236	contig_14_1	14.0	0.0019	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_540_1	367.9	8.2e-111	1
CSP12_V30PRr1__SemiBin_7	K13057	contig_395_1	110.8	8.8e-33	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_376_4	54.3	1.3e-15	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_207_1	35.2	7.6e-10	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_207_7	33.6	2.4e-09	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_375_6	19.8	3.7e-05	0
CSP12_V30PRr1__SemiBin_7	K13057	contig_196_2	11.2	0.015	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_531_2	721.9	8.7e-218	1
CSP12_V30PRr1__SemiBin_7	K00108	contig_328_2	466.6	1.6e-140	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_29_4	100.4	1e-29	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_83_7	61.9	4.9e-18	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_73_4	13.8	0.0017	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_273_9	10.8	0.014	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_260_4	10.6	0.016	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_384_3	10.0	0.024	0
CSP12_V30PRr1__SemiBin_7	K00108	contig_399_2	9.4	0.036	0
CSP12_V30PRr1__SemiBin_7	K00130	contig_547_13	742.2	5.7e-224	1
CSP12_V30PRr1__SemiBin_7	K00130	contig_277_7	501.6	4.2e-151	0
CSP12_V30PRr1__SemiBin_7	K00130	contig_547_12	433.7	1.5e-130	0
CSP12_V30PRr1__SemiBin_7	K00130	contig_535_1	364.9	1.1e-109	0
CSP12_V30PRr1__SemiBin_7	K00130	contig_42_1	333.0	4.7e-100	0
CSP12_V30PRr1__SemiBin_7	K00130	contig_246_1	328.0	1.6e-98	0
CSP12_V30PRr1__SemiBin_7	K00499	contig_526_6	23.7	2.9e-06	0
CSP12_V30PRr1__SemiBin_7	K00499	contig_343_4	14.8	0.0014	0
CSP12_V30PRr1__SemiBin_7	K00499	contig_384_3	14.5	0.0017	0
CSP12_V30PRr1__SemiBin_7	K17755	contig_531_2	430.7	1.3e-129	0
CSP12_V30PRr1__SemiBin_7	K17755	contig_328_2	326.5	4.9e-98	0
CSP12_V30PRr1__SemiBin_7	K17755	contig_29_4	92.4	4.4e-27	0
CSP12_V30PRr1__SemiBin_7	K17755	contig_83_7	52.5	5.5e-15	0
CSP12_V30PRr1__SemiBin_7	K17755	contig_399_2	8.9	0.089	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_29_4	352.7	7.5e-106	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_83_7	107.4	1.1e-31	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_531_2	69.5	3e-20	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_328_2	56.5	2.7e-16	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_260_4	30.5	1.9e-08	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_73_4	23.8	2e-06	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_384_3	17.3	0.00018	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_112_9	13.6	0.0024	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_60_11	11.2	0.013	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_255_1	11.0	0.015	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_32_1	10.9	0.016	0
CSP12_V30PRr1__SemiBin_7	K17756	contig_133_6	5.9	0.5	0
CSP12_V30PRr1__SemiBin_7	K06718	contig_180_5	26.4	6.4e-07	0
CSP12_V30PRr1__SemiBin_7	K06720	contig_268_2	16.6	0.00097	0
CSP12_V30PRr1__SemiBin_7	K06721	contig_562_3	17.3	0.00038	0
CSP12_V30PRr1__SemiBin_7	K06721	contig_506_5	15.7	0.0012	0
CSP12_V30PRr1__SemiBin_7	K06721	contig_530_1	8.2	0.22	0
CSP12_V30PRr1__SemiBin_7	K06721	contig_295_1	4.3	3.3	0
CSP12_V30PRr1__SemiBin_7	K01858	contig_36_3	451.1	1.1e-135	1
CSP12_V30PRr1__SemiBin_7	K01858	contig_269_4	11.7	0.01	0
CSP12_V30PRr1__SemiBin_7	K05845	contig_520_12	325.2	1.2e-97	1
CSP12_V30PRr1__SemiBin_7	K05846	contig_520_12	302.8	5.6e-91	1
CSP12_V30PRr1__SemiBin_7	K05846	contig_412_5	61.3	1.2e-17	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_202_2	48.8	7.4e-14	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_202_1	23.5	3.5e-06	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_259_3	15.6	0.00089	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_428_2	12.3	0.0087	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_259_2	10.4	0.034	0
CSP12_V30PRr1__SemiBin_7	K05846	contig_48_5	10.1	0.042	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_412_4	249.8	9.3e-75	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_520_13	242.6	1.3e-72	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_491_2	242.3	1.7e-72	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_70_9	240.3	6.8e-72	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_309_3	213.3	1.1e-63	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_259_5	206.3	1.5e-61	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_556_3	191.9	3.6e-57	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_358_3	183.0	1.8e-54	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_313_4	176.9	1.3e-52	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_411_2	170.8	8.7e-51	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_192_2	164.1	9.6e-49	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_549_6	161.2	7.5e-48	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_259_4	158.4	5e-47	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_18_8	149.6	2.5e-44	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_66_4	146.1	2.8e-43	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_161_2	143.0	2.5e-42	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_166_3	142.7	3.1e-42	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_27_4	119.8	2.8e-35	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_99_3	94.2	1.6e-27	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_99_4	57.9	1.7e-16	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_32_5	48.5	1.2e-13	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_510_2	45.0	1.4e-12	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_485_1	19.7	6.9e-05	0
CSP12_V30PRr1__SemiBin_7	K05847	contig_269_4	14.0	0.0037	0
