genome	phylum	n_annotated_proteins	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
19PRr2_MAGScoT_cleanbin_000002	Bdellovibrionota	2839	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True	True
19PRr2_MAGScoT_cleanbin_000004	Pseudomonadota	3172	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	True	True	False
19PRr2_MAGScoT_cleanbin_000005	Acidobacteriota	4677	True	True	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True
19PRr2_MAGScoT_cleanbin_000007	Actinomycetota	5498	True	False	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	True	False	True
19PRr2_MAGScoT_cleanbin_000008	Pseudomonadota	2600	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	True	True	False
19PRr2_MAGScoT_cleanbin_000009	Bacillota	3045	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	True	True
19PRr2_MAGScoT_cleanbin_000010	Acidobacteriota	3257	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	False
19PRr2_MAGScoT_cleanbin_000014	Planctomycetota	3855	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	False	True	True
19PRr2_MAGScoT_cleanbin_000017	Pseudomonadota	4744	True	False	False	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	False
19PRr2_MAGScoT_cleanbin_000020	Planctomycetota	2377	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	False
19PRr2_MAGScoT_cleanbin_000024	Pseudomonadota	3129	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	True
19_MR59-35	unclassified	4704	False	False	False	False	False	False	True	False	True	False	False	True	False	True	True	True	True	True	True	True
1Dr2_MAGScoT_cleanbin_000001	Actinomycetota	2604	False	False	False	False	False	False	True	False	False	True	True	False	False	False	True	True	True	False	True	False
1PRr1_MAGScoT_cleanbin_000001	Bacteroidota	2811	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True
1PRr1_MAGScoT_cleanbin_000003	Actinomycetota	2860	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True	True
1PRr1_MAGScoT_cleanbin_000010	Bacillota	2967	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True
20_MR59-37	unclassified	3566	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	True	True
21_MR59-38	unclassified	3139	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	True	True	True	True
22_MR59-39	unclassified	4315	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True
24PRr2_MAGScoT_cleanbin_000002	Gemmatimonadota	3572	True	False	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	False	True	True
24PRr2_MAGScoT_cleanbin_000003	Pseudomonadota	4917	True	True	True	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
24PRr2_MAGScoT_cleanbin_000004	Bacteroidota	4094	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	True	True
24PRr2_MAGScoT_cleanbin_000005	Actinomycetota	5634	True	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	True	True	False	True
24PRr2_MAGScoT_cleanbin_000006	Actinomycetota	5091	True	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	False	True
24PRr2_MAGScoT_cleanbin_000007	Actinomycetota	5135	True	False	True	False	False	False	True	False	True	True	True	True	True	False	False	True	True	False	True	True
24PRr2_MAGScoT_cleanbin_000008	Chloroflexota	2721	False	True	True	False	False	False	True	False	False	True	True	True	False	False	False	True	True	False	True	False
24PRr2_MAGScoT_cleanbin_000009	Actinomycetota	5288	True	True	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True
24PRr2_MAGScoT_cleanbin_000011	Pseudomonadota	4206	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	False	True	True	True	True
24PRr2_MAGScoT_cleanbin_000012	Pseudomonadota	3916	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	True	True	False	True	True
24PRr2_MAGScoT_cleanbin_000013	Actinomycetota	5955	True	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	True	True	True	True
24PRr2_MAGScoT_cleanbin_000019	Actinomycetota	4991	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	True	False	True	True	True
24PRr2_MAGScoT_cleanbin_000020	Actinomycetota	4553	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	False	True
24PRr2_MAGScoT_cleanbin_000024	Actinomycetota	4126	True	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	True	True	False	True
24PRr2_MAGScoT_cleanbin_000027	Actinomycetota	4693	False	True	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	True	False	True
24PRr2_MAGScoT_cleanbin_000030	Thermoproteota	2254	False	False	False	False	False	True	True	False	True	False	False	True	False	False	False	True	False	False	True	True
24_MR59-43	unclassified	3922	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	True	True	True	True	True
25_MR59-44	unclassified	3965	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	True	True	True	True	True
26_MR59-45	unclassified	4593	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	True	True	True	True	True
27_MR59-46	unclassified	4521	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True	True	True
28_MR59-47	unclassified	3810	False	False	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	True	True	True
29_MR59-48	unclassified	4817	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	True
2PRr2_MAGScoT_cleanbin_000001	Actinomycetota	6206	True	True	True	False	False	False	True	False	True	True	False	True	True	False	True	True	True	True	False	True
2PRr2_MAGScoT_cleanbin_000002	Bacillota	3064	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	True
2PRr2_MAGScoT_cleanbin_000007	Actinomycetota	2721	False	False	False	False	False	False	True	False	False	True	True	False	True	False	True	True	True	True	True	True
2PRr2_MAGScoT_cleanbin_000009	Pseudomonadota	3973	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000001	Pseudomonadota	5924	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000002	Pseudomonadota	3103	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	False	True	True
30PRr3_MAGScoT_cleanbin_000004	Bacillota	4503	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	True	True	True	True	False
30PRr3_MAGScoT_cleanbin_000005	Pseudomonadota	6255	False	False	True	False	False	False	True	False	False	True	False	True	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000006	Myxococcota	5096	False	True	False	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000008	Bacillota	3868	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000009	Pseudomonadota	3278	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000010	Pseudomonadota	4518	True	False	True	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000011	Actinomycetota	5208	False	False	True	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000015	Actinomycetota	7244	True	False	False	False	False	False	False	False	True	False	True	True	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000016	Actinomycetota	3320	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	True	False
30PRr3_MAGScoT_cleanbin_000017	Actinomycetota	6156	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000018	Actinomycetota	3443	True	False	False	False	False	False	True	False	True	True	False	True	False	False	False	True	True	True	True	False
30PRr3_MAGScoT_cleanbin_000019	Actinomycetota	3223	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000020	Actinomycetota	4360	True	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False
30PRr3_MAGScoT_cleanbin_000021	Actinomycetota	4162	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	False	True
30PRr3_MAGScoT_cleanbin_000028	Pseudomonadota	2524	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True
30PRr3_MAGScoT_cleanbin_000031	Actinomycetota	7536	True	True	True	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	True	True
30_MR59-49	unclassified	4519	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000005	Bacteroidota	3246	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000008	Gemmatimonadota	2715	True	True	True	False	False	False	True	False	False	True	True	True	True	False	False	True	True	False	True	False
31PRr3_MAGScoT_cleanbin_000010	Chloroflexota	5225	True	True	True	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	False
31PRr3_MAGScoT_cleanbin_000013	Pseudomonadota	2922	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	False
31PRr3_MAGScoT_cleanbin_000015	Actinomycetota	2254	True	True	True	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000016	Actinomycetota	2266	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	False	False	True
31PRr3_MAGScoT_cleanbin_000021	Bacillota	2925	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000022	Pseudomonadota	2765	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000023	Thermoproteota	1837	False	True	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	True	True
31PRr3_MAGScoT_cleanbin_000024	Bacillota	3043	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000030	Pseudomonadota	3339	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
31PRr3_MAGScoT_cleanbin_000031	Bacillota	3214	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	True	True
32_MR59-51	unclassified	3871	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	True
34PRr1_MAGScoT_cleanbin_000001	Pseudomonadota	3592	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	True	True	True	True	False
34PRr1_MAGScoT_cleanbin_000003	Pseudomonadota	3737	True	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
34PRr1_MAGScoT_cleanbin_000004	Pseudomonadota	4436	True	False	True	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
34PRr1_MAGScoT_cleanbin_000009	Bacillota	2960	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	True	True
34PRr1_MAGScoT_cleanbin_000011	Armatimonadota	3282	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	True	True	False
34PRr1_MAGScoT_cleanbin_000015	Planctomycetota	4206	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	False	True	True
34PRr1_MAGScoT_cleanbin_000019	Bacillota	3359	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	True	True	True	True	True
36PRr1_MAGScoT_cleanbin_000001	Bacteroidota	2926	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	True
36PRr1_MAGScoT_cleanbin_000002	Pseudomonadota	3392	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	False	True	True
36PRr1_MAGScoT_cleanbin_000003	Actinomycetota	3134	True	True	True	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	False
36PRr1_MAGScoT_cleanbin_000005	Bacteroidota	3522	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True	True	True	True
36PRr1_MAGScoT_cleanbin_000006	Actinomycetota	2438	False	True	True	False	False	False	True	False	True	True	True	False	False	False	False	True	True	True	False	False
36PRr1_MAGScoT_cleanbin_000007	Actinomycetota	2558	False	True	True	False	False	True	True	False	True	True	True	False	False	False	False	True	True	True	True	False
36PRr1_MAGScoT_cleanbin_000008	Actinomycetota	2338	True	True	True	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	False
36PRr1_MAGScoT_cleanbin_000009	Actinomycetota	3227	True	False	False	False	False	False	True	False	False	False	True	True	True	False	False	True	True	True	False	True
36PRr1_MAGScoT_cleanbin_000011	Actinomycetota	2932	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	False	True	False
36PRr1_MAGScoT_cleanbin_000012	Actinomycetota	2525	False	True	True	False	False	True	True	False	False	True	True	False	False	False	False	True	True	True	False	False
36PRr1_MAGScoT_cleanbin_000014	Chloroflexota	5616	True	True	False	False	False	False	True	False	True	True	True	False	False	False	False	True	True	True	True	True
36PRr1_MAGScoT_cleanbin_000015	Actinomycetota	2581	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	False	True
36PRr1_MAGScoT_cleanbin_000017	Actinomycetota	1864	False	True	True	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	False	False
36PRr1_MAGScoT_cleanbin_000018	Pseudomonadota	2418	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	True
36PRr1_MAGScoT_cleanbin_000019	Actinomycetota	3478	False	True	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	False
36PRr1_MAGScoT_cleanbin_000021	Verrucomicrobiota	3894	False	True	True	False	False	False	True	False	True	False	True	False	True	False	False	True	True	False	True	True
36PRr1_MAGScoT_cleanbin_000028	Verrucomicrobiota	3537	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
36PRr1_MAGScoT_cleanbin_000036	Actinomycetota	2555	False	True	True	False	False	True	True	False	False	True	True	False	False	False	False	True	True	True	False	False
36PRr1_MAGScoT_cleanbin_000037	Actinomycetota	2341	True	True	False	False	False	False	True	False	False	True	True	False	False	False	False	False	True	False	True	False
36PRr1_MAGScoT_cleanbin_000040	Pseudomonadota	3553	False	False	True	True	False	False	False	False	True	True	True	False	True	False	False	True	True	False	True	False
36PRr1_MAGScoT_cleanbin_000047	Actinomycetota	3985	False	False	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	True	False	False
37_MR59-56	unclassified	3046	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	True	True	True	True
38PRr2_MAGScoT_cleanbin_000001	Bacteroidota	4669	True	False	True	False	False	False	False	False	False	True	True	False	False	False	True	True	True	True	True	True
38PRr2_MAGScoT_cleanbin_000002	Actinomycetota	5299	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
38PRr2_MAGScoT_cleanbin_000003	Bacteroidota	3500	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	True	True	True
38PRr2_MAGScoT_cleanbin_000004	Pseudomonadota	4191	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
38PRr2_MAGScoT_cleanbin_000005	Pseudomonadota	3367	False	True	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	False	True	True
38PRr2_MAGScoT_cleanbin_000006	Actinomycetota	5215	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True
38PRr2_MAGScoT_cleanbin_000009	Actinomycetota	3221	True	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	True	True	False
38PRr2_MAGScoT_cleanbin_000011	Planctomycetota	3636	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	True	True	False
38_MR59-57	unclassified	3690	False	False	True	False	False	False	False	False	True	False	False	True	True	False	True	True	True	True	True	True
3PRr3_MAGScoT_cleanbin_000002	Actinomycetota	4906	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
3PRr3_MAGScoT_cleanbin_000003	Chloroflexota	3602	True	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	False
41PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	2757	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000002	Pseudomonadota	2490	False	False	True	False	False	True	False	False	True	False	True	True	True	False	False	True	True	False	True	False
41PRr2_MAGScoT_cleanbin_000003	Bacteroidota	3270	False	True	False	False	False	False	True	False	False	True	True	False	True	False	False	True	False	False	True	False
41PRr2_MAGScoT_cleanbin_000004	Bacteroidota	3402	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	False	True	True
41PRr2_MAGScoT_cleanbin_000005	Actinomycetota	2561	True	True	True	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000006	Pseudomonadota	4228	True	False	True	False	False	False	True	False	True	True	True	False	True	False	False	True	True	True	False	False
41PRr2_MAGScoT_cleanbin_000007	Actinomycetota	2802	False	True	False	False	False	False	True	False	False	True	False	True	False	False	False	True	True	False	True	False
41PRr2_MAGScoT_cleanbin_000008	Pseudomonadota	2821	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	False	True
41PRr2_MAGScoT_cleanbin_000009	Halobacteriota	3794	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	True	True	False
41PRr2_MAGScoT_cleanbin_000010	Actinomycetota	3373	True	True	True	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000011	Halobacteriota	2333	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	True	False
41PRr2_MAGScoT_cleanbin_000013	Pseudomonadota	3574	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	False	True	True	True	False
41PRr2_MAGScoT_cleanbin_000014	Myxococcota_A	3853	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000015	Pseudomonadota	4021	True	False	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000018	Pseudomonadota	2868	True	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000019	Thermoplasmatota	2396	False	False	True	False	False	False	True	False	False	True	False	False	True	False	False	True	False	True	True	True
41PRr2_MAGScoT_cleanbin_000020	Thermoplasmatota	2170	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False
41PRr2_MAGScoT_cleanbin_000023	Actinomycetota	3403	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	True
41PRr2_MAGScoT_cleanbin_000024	Actinomycetota	2359	False	True	True	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	True	False
41PRr2_MAGScoT_cleanbin_000025	Actinomycetota	3829	True	False	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	False	False
41PRr2_MAGScoT_cleanbin_000028	Actinomycetota	3413	True	True	True	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	False	False
41PRr2_MAGScoT_cleanbin_000030	Halobacteriota	2713	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True
